title,price,availability,rating,product_link
The Requiem Red,£22.65,In stock,1,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
Set Me Free,£17.46,In stock,5,https://books.toscrape.com/catalogue/set-me-free_988/index.html
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock,3,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
Obsidian (Lux #1),£14.86,In stock,2,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
Burning,£28.81,In stock,3,https://books.toscrape.com/catalogue/burning_884/index.html
A Fierce and Subtle Poison,£28.13,In stock,4,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
Scarlett Epstein Hates It Here,£43.55,In stock,5,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
"Nightingale, Sing",£38.28,In stock,1,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,In stock,5,https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
Frostbite (Vampire Academy #2),£29.99,In stock,5,https://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html
Wild Swans,£14.36,In stock,2,https://books.toscrape.com/catalogue/wild-swans_782/index.html
Until Friday Night (The Field Party #1),£46.31,In stock,2,https://books.toscrape.com/catalogue/until-friday-night-the-field-party-1_775/index.html
This Is Where It Ends,£27.12,In stock,2,https://books.toscrape.com/catalogue/this-is-where-it-ends_771/index.html
The Darkest Lie,£35.35,In stock,5,https://books.toscrape.com/catalogue/the-darkest-lie_747/index.html
My Kind of Crazy,£40.36,In stock,1,https://books.toscrape.com/catalogue/my-kind-of-crazy_718/index.html
Don't Get Caught,£55.35,In stock,1,https://books.toscrape.com/catalogue/dont-get-caught_687/index.html
Catching Jordan (Hundred Oaks),£50.83,In stock,3,https://books.toscrape.com/catalogue/catching-jordan-hundred-oaks_673/index.html
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),£58.14,In stock,4,https://books.toscrape.com/catalogue/aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663/index.html
The Epidemic (The Program 0.6),£14.44,In stock,5,https://books.toscrape.com/catalogue/the-epidemic-the-program-06_636/index.html
Stars Above (The Lunar Chronicles #4.5),£48.05,In stock,2,https://books.toscrape.com/catalogue/stars-above-the-lunar-chronicles-45_632/index.html
No Love Allowed (Dodge Cove #1),£54.65,In stock,4,https://books.toscrape.com/catalogue/no-love-allowed-dodge-cove-1_625/index.html
"Exit, Pursued by a Bear",£51.34,In stock,4,https://books.toscrape.com/catalogue/exit-pursued-by-a-bear_591/index.html
The Alien Club,£54.40,In stock,1,https://books.toscrape.com/catalogue/the-alien-club_569/index.html
Don't Forget Steven,£33.23,In stock,1,https://books.toscrape.com/catalogue/dont-forget-steven_561/index.html
South of Sunshine,£28.93,In stock,1,https://books.toscrape.com/catalogue/south-of-sunshine_544/index.html
My Life Next Door (My Life Next Door ),£36.39,In stock,5,https://books.toscrape.com/catalogue/my-life-next-door-my-life-next-door_535/index.html
Future Shock (Future Shock #1),£55.65,In stock,5,https://books.toscrape.com/catalogue/future-shock-future-shock-1_519/index.html
Nightstruck: A Novel,£50.35,In stock,4,https://books.toscrape.com/catalogue/nightstruck-a-novel_480/index.html
Tell the Wolves I'm Home,£50.96,In stock,2,https://books.toscrape.com/catalogue/tell-the-wolves-im-home_439/index.html
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",£47.31,In stock,4,https://books.toscrape.com/catalogue/will-grayson-will-grayson-will-grayson-will-grayson_419/index.html
Where She Went (If I Stay #2),£41.73,In stock,4,https://books.toscrape.com/catalogue/where-she-went-if-i-stay-2_417/index.html
Two Summers,£14.64,In stock,1,https://books.toscrape.com/catalogue/two-summers_415/index.html
The Darkest Corners,£11.33,In stock,5,https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
Tell Me Three Things,£41.81,In stock,1,https://books.toscrape.com/catalogue/tell-me-three-things_395/index.html
Lola and the Boy Next Door (Anna and the French Kiss #2),£23.63,In stock,4,https://books.toscrape.com/catalogue/lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html
Kill the Boy Band,£15.52,In stock,5,https://books.toscrape.com/catalogue/kill-the-boy-band_381/index.html
Isla and the Happily Ever After (Anna and the French Kiss #3),£48.13,In stock,5,https://books.toscrape.com/catalogue/isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html
An Abundance of Katherines,£10.00,In stock,5,https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),£24.17,In stock,4,https://books.toscrape.com/catalogue/harry-potter-and-the-prisoner-of-azkaban-harry-potter-3_328/index.html
Walk the Edge (Thunder Road #2),£32.36,In stock,3,https://books.toscrape.com/catalogue/walk-the-edge-thunder-road-2_300/index.html
Two Boys Kissing,£32.74,In stock,2,https://books.toscrape.com/catalogue/two-boys-kissing_294/index.html
The New Guy (and Other Senior Year Distractions),£44.92,In stock,3,https://books.toscrape.com/catalogue/the-new-guy-and-other-senior-year-distractions_266/index.html
"The Land of 10,000 Madonnas",£29.64,In stock,4,https://books.toscrape.com/catalogue/the-land-of-10000-madonnas_258/index.html
Scarlet (The Lunar Chronicles #2),£14.57,In stock,4,https://books.toscrape.com/catalogue/scarlet-the-lunar-chronicles-2_218/index.html
Legend (Legend #1),£43.69,In stock,4,https://books.toscrape.com/catalogue/legend-legend-1_184/index.html
Lady Renegades (Rebel Belle #3),£53.04,In stock,5,https://books.toscrape.com/catalogue/lady-renegades-rebel-belle-3_181/index.html
Golden (Heart of Dread #3),£42.21,In stock,4,https://books.toscrape.com/catalogue/golden-heart-of-dread-3_161/index.html
Cinder (The Lunar Chronicles #1),£26.09,In stock,1,https://books.toscrape.com/catalogue/cinder-the-lunar-chronicles-1_139/index.html
Boy Meets Boy,£21.12,In stock,3,https://books.toscrape.com/catalogue/boy-meets-boy_134/index.html
Annie on My Mind,£36.83,In stock,5,https://books.toscrape.com/catalogue/annie-on-my-mind_120/index.html
New Moon (Twilight #2),£12.86,In stock,4,https://books.toscrape.com/catalogue/new-moon-twilight-2_105/index.html
Girl Online On Tour (Girl Online #2),£53.47,In stock,1,https://books.toscrape.com/catalogue/girl-online-on-tour-girl-online-2_101/index.html
The Haters,£27.89,In stock,5,https://books.toscrape.com/catalogue/the-haters_67/index.html
The Art of Not Breathing,£40.83,In stock,4,https://books.toscrape.com/catalogue/the-art-of-not-breathing_58/index.html
